path,distribution,family,util_bucket,n_tasks,U_total,dm_schedulable,edf_schedulable,edf_checked_points,edf_worst_violation,sim_horizon,sim_dm_missed_total,sim_edf_missed_total
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_0.csv,automotive-utilDist,automotive-perDist,0.10,17,0.083832,1,1,4,-48300,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_1.csv,automotive-utilDist,automotive-perDist,0.10,9,0.053452,1,1,10,-19860,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_10.csv,automotive-utilDist,automotive-perDist,0.10,7,0.09356,1,1,2,-91840,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_11.csv,automotive-utilDist,automotive-perDist,0.10,9,0.13917,1,1,10,-18940,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_12.csv,automotive-utilDist,automotive-perDist,0.10,11,0.096323,1,1,10,-19670,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_13.csv,automotive-utilDist,automotive-perDist,0.10,12,0.09777,1,1,20,-9700,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_14.csv,automotive-utilDist,automotive-perDist,0.10,16,0.095218,1,1,10,-19850,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_15.csv,automotive-utilDist,automotive-perDist,0.10,11,0.108197,1,1,2,-92540,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_16.csv,automotive-utilDist,automotive-perDist,0.10,12,0.116289,1,1,4,-49820,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_17.csv,automotive-utilDist,automotive-perDist,0.10,9,0.0653,1,1,4,-49071,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_18.csv,automotive-utilDist,automotive-perDist,0.10,13,0.058739,1,1,2,-97750,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_19.csv,automotive-utilDist,automotive-perDist,0.10,6,0.064324,1,1,2,-97390,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_2.csv,automotive-utilDist,automotive-perDist,0.10,7,0.04967,1,1,2,-98100,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_20.csv,automotive-utilDist,automotive-perDist,0.10,11,0.10801,1,1,2,-93680,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_21.csv,automotive-utilDist,automotive-perDist,0.10,19,0.067441,1,1,2,-96020,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_22.csv,automotive-utilDist,automotive-perDist,0.10,7,0.095696,1,1,4,-49090,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_23.csv,automotive-utilDist,automotive-perDist,0.10,13,0.083295,1,1,2,-92620,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_24.csv,automotive-utilDist,automotive-perDist,0.10,4,0.05811,1,1,2,-96930,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_25.csv,automotive-utilDist,automotive-perDist,0.10,7,0.09811,1,1,2,-90510,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_26.csv,automotive-utilDist,automotive-perDist,0.10,8,0.08469,1,1,4,-49090,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_27.csv,automotive-utilDist,automotive-perDist,0.10,12,0.096225,1,1,10,-19380,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_28.csv,automotive-utilDist,automotive-perDist,0.10,12,0.03993,1,1,4,-49120,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_29.csv,automotive-utilDist,automotive-perDist,0.10,14,0.10639,1,1,2,-92730,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_3.csv,automotive-utilDist,automotive-perDist,0.10,9,0.09556,1,1,12,-19560,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_30.csv,automotive-utilDist,automotive-perDist,0.10,14,0.090951,1,1,2,-92260,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_31.csv,automotive-utilDist,automotive-perDist,0.10,17,0.079749,1,1,10,-19480,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_32.csv,automotive-utilDist,automotive-perDist,0.10,12,0.107792,1,1,4,-46860,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_33.csv,automotive-utilDist,automotive-perDist,0.10,8,0.08469,1,1,4,-49090,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_34.csv,automotive-utilDist,automotive-perDist,0.10,10,0.16888,1,1,10,-17490,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_35.csv,automotive-utilDist,automotive-perDist,0.10,4,0.09437,1,1,20,-9210,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_36.csv,automotive-utilDist,automotive-perDist,0.10,25,0.091073,1,1,10,-19330,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_37.csv,automotive-utilDist,automotive-perDist,0.10,12,0.107792,1,1,4,-46860,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_38.csv,automotive-utilDist,automotive-perDist,0.10,11,0.06253,1,1,10,-19730,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_39.csv,automotive-utilDist,automotive-perDist,0.10,7,0.095099,1,1,4,-47730,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_4.csv,automotive-utilDist,automotive-perDist,0.10,10,0.101415,1,1,2,-92451,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_40.csv,automotive-utilDist,automotive-perDist,0.10,8,0.056331,1,1,2,-97700,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_41.csv,automotive-utilDist,automotive-perDist,0.10,11,0.080943,1,1,4,-49670,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_42.csv,automotive-utilDist,automotive-perDist,0.10,8,0.08843,1,1,2,-93680,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_43.csv,automotive-utilDist,automotive-perDist,0.10,7,0.10974,1,1,2,-90040,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_44.csv,automotive-utilDist,automotive-perDist,0.10,4,0.10547,1,1,10,-19280,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_45.csv,automotive-utilDist,automotive-perDist,0.10,12,0.150151,1,1,10,-17700,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_46.csv,automotive-utilDist,automotive-perDist,0.10,9,0.08317,1,1,4,-48710,500000,0,0
