distribution,family,util_bucket,n_tasksets,avg_U,pct_dm_sched,pct_edf_sched,avg_sim_dm_missed,avg_sim_edf_missed
automotive-utilDist,automotive-perDist,0.10,100,0.094881,100.0,100.0,0.0,0.0
automotive-utilDist,automotive-perDist,0.20,100,0.19147,100.0,100.0,0.0,0.0
automotive-utilDist,automotive-perDist,0.30,100,0.311087,100.0,100.0,0.0,0.0
automotive-utilDist,automotive-perDist,0.40,100,0.435425,99.0,99.0,0.16,0.16
automotive-utilDist,automotive-perDist,0.50,100,0.526844,99.0,99.0,0.14,0.14
automotive-utilDist,automotive-perDist,0.60,100,0.632205,96.0,96.0,0.0,0.0
automotive-utilDist,automotive-perDist,0.70,100,0.748042,93.0,93.0,0.7,0.73
automotive-utilDist,automotive-perDist,0.80,100,0.880133,78.0,78.0,0.42,0.42
automotive-utilDist,automotive-perDist,0.90,100,0.985597,51.0,51.0,3.15,9.95
automotive-utilDist,automotive-perDist,1.00,100,1.090243,25.0,25.0,0.2,0.19
uunifast-utilDist,uniform-discrete-perDist,0.10,100,0.099582,100.0,100.0,0.0,0.0
uunifast-utilDist,uniform-discrete-perDist,0.20,100,0.199567,100.0,100.0,0.0,0.0
uunifast-utilDist,uniform-discrete-perDist,0.30,100,0.299565,100.0,100.0,0.0,0.0
uunifast-utilDist,uniform-discrete-perDist,0.40,100,0.399583,100.0,100.0,0.0,0.0
uunifast-utilDist,uniform-discrete-perDist,0.50,100,0.499584,100.0,100.0,0.0,0.0
uunifast-utilDist,uniform-discrete-perDist,0.60,100,0.599567,100.0,100.0,0.0,0.0
uunifast-utilDist,uniform-discrete-perDist,0.70,100,0.69958,100.0,100.0,0.0,0.0
uunifast-utilDist,uniform-discrete-perDist,0.80,100,0.799567,100.0,100.0,0.0,0.0
uunifast-utilDist,uniform-discrete-perDist,0.90,100,0.899588,56.0,100.0,0.0,0.0
uunifast-utilDist,uniform-discrete-perDist,1.00,100,0.999571,0.0,100.0,0.0,0.0
